platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-B,2008,3.0,-12.0,Conductors,M,100.0,60.0,100.0,20.0,
K9-B,2008,-12.0,-34.5,Rows and Elevations,M,0.0,0.0,100.0,120.0,
K9-B,2008,-12.0,-34.5,Risers,M,0.0,0.0,100.0,50.0,
K9-B,2008,-12.0,-34.5,Caissons,M,0.0,0.0,100.0,60.0,
K9-B,2008,-12.0,-34.5,Conductors,M,60.0,40.0,100.0,80.0,
K9-B,2008,3.0,0.0,Row 1,A,100.0,70.0,0.0,0.0,
K9-B,2008,3.0,0.0,Row 2,A,100.0,60.0,0.0,0.0,
K9-B,2008,3.0,0.0,Row A,A,100.0,50.0,0.0,0.0,
K9-B,2008,3.0,0.0,Row B,A,100.0,70.0,0.0,0.0,
K9-B,2008,0.0,-12.0,Row 1,A,20.0,70.0,80.0,60.0,
K9-B,2008,0.0,-12.0,Row 2,A,30.0,50.0,60.0,50.0,
K9-B,2008,0.0,-12.0,Row A,A,100.0,70.0,0.0,0.0,
K9-B,2008,0.0,-12.0,Row B,A,30.0,50.0,70.0,30.0,
K9-B,2008,-12.0,-34.5,Row 1,A,0.0,0.0,100.0,50.0,
K9-B,2008,-12.0,-34.5,Row 2,A,0.0,0.0,100.0,100.0,
K9-B,2008,-12.0,-34.5,Row A,A,0.0,0.0,100.0,120.0,
K9-B,2008,-12.0,-34.5,Row B,A,0.0,0.0,100.0,80.0,
K9-B,2008,-12.0,-12.0,Level 1 ,A,10.0,50.0,80.0,50.0,
K9-B,2008,-12.0,-12.0,Conductor Field,A,0.0,0.0,80.0,50.0,
K9-B,2008,-34.5,-34.5,Level 2,A,0.0,0.0,100.0,80.0,
K9-B,2008,-34.5,-34.5,Conductor Field ,A,0.0,0.0,100.0,80.0,
K9-B,2006,3.0,-12.0,Rows and Elevations,A,52.0,40.0,30.0,10.0,
K9-B,2006,3.0,-12.0,Risers,A,60.0,50.0,10.0,5.0,
K9-B,2006,3.0,-12.0,Caissons,A,54.0,38.0,33.0,8.0,
